FB Ads campaign,Reach,Impressions,Clicks,Unique clicks,Website Clicks,CTR,uCTR,Budget,CPM,CP 1000 reached,CPC,CPuC,Start Date (mm/dd/yyyy),End Date (mm/dd/yyyy),Length (days),Industry,Notes
Brigid Lookbook Ad,112244,473080,488,435,476,0.103%,0.388%,$125.00,$0.26,$1.11,$0.26,$0.29,7/16/2013,7/30/2013,14,FMCG,
Marshall White Summer Comp,31343,51161,346,235,168,0.676%,0.750%,$100.00,$1.95,$3.19,$0.29,$0.43,11/25/2013,12/10/2013,15,Real Estate,
Clarendon Aus Open,36450,76606,230,173,161,0.300%,0.475%,$100.00,$1.31,$2.74,$0.43,$0.58,11/27/2013,1/3/2014,37,FMCG,
Love to Dream Swaddle Up Lite,46226,60829,1480,734,696,2.433%,1.588%,$400.00,$6.58,$8.65,$0.27,$0.54,11/27/2013,12/18/2013,21,FMCG,
BS Coles Gift Card,44047,158927,179,143,134,0.113%,0.325%,$100.00,$0.63,$2.27,$0.56,$0.70,12/2/2013,12/13/2013,11,Real Estate,
MSAC FlowRider,18968,28845,171,141,86,0.593%,0.743%,$75.00,$2.60,$3.95,$0.44,$0.53,12/10/2013,1/31/2014,52,Fitness,
AFL 12 Days of XMas,34272,73133,522,364,407,0.714%,1.062%,$75.00,$1.03,$2.19,$0.14,$0.21,12/18/2013,12/25/2013,7,Sports,
Jellis Craig Career App,15816,17813,388,254,131,2.178%,1.606%,$100.00,$5.61,$6.32,$0.26,$0.39,12/19/2013,1/19/2014,31,Real Estate,
Ubaby Milk Espresso,11401,12323,300,220,225,2.434%,1.930%,75,$6.09,$6.58,$0.25,$0.34,12/20/2013,1/15/2014,26,FMCG,
Go Natural Hobbit Comp,27047,65349,220,182,168,0.337%,0.673%,$60.00,$0.92,$2.22,$0.27,$0.33,12/24/2013,1/6/2014,13,FMCG,
BS Holiday Photo Upload,27360,52377,98,85,55,0.187%,0.311%,75,$1.43,$2.74,$0.77,$0.88,12/24/2013,1/24/2014,31,Real Estate,
Ryvita App,77685,122545,157,135,123,0.128%,0.174%,$99.98,$0.82,$1.29,$0.64,$0.74,1/29/2014,2/15/2014,17,FMCG,
Biggin & Scott Sweetheart Day,7243,7907,437,321,79,5.527%,4.432%,$49.96,$6.32,$6.90,$0.11,$0.16,2/6/2014,2/14/2014,8,Real Estate,
Solar Sunwerx,6446,6648,71,58,53,1.068%,0.900%,49.97,$7.52,$7.75,$0.70,$0.86,2/13/2014,2/21/2014,8,Energy,
Ryvita Toppings,59912,207929,274,198,178,0.132%,0.330%,$149.28,$0.72,$2.49,$0.54,$0.75,2/17/2014,3/14/2014,25,FMCG,
Sydney Roosters- Catered Box,89463,224367,5223,2829,2899,2.328%,3.162%,$499.87,$2.23,$5.59,$0.10,$0.18,3/14/2014,4/14/2014,31,Sports,
Ryvita Eateries,125722,375074,1253,861,778,0.334%,0.685%,$639.87,$1.71,$5.09,$0.51,$0.74,3/17/2014,4/14/2014,28,FMCG,
Good Design Forum,64813,71003,602,496,294,0.848%,0.765%,$400.00,$5.63,$6.17,$0.66,$0.81,5/22/2014,5/30/2014,8,Event/ Design,
Simply Smooth,20991,24887,379,252,147,1.523%,1.201%,$133.54,$5.37,$6.36,$0.35,$0.53,6/6/2014,6/16/2014,10,Health,
Panama House,25379,38846,939,607,430,2.417%,2.392%,$199.91,$5.15,$7.88,$0.21,$0.33,6/12/2014,6/27/2014,15,Restaurant,
Gregory Jewelers,16738,25158,741,344,260,2.945%,2.055%,$100.00,$3.97,$5.97,$0.13,$0.29,6/26/2014,7/13/2014,17,Retail,
Resie property,15196,19129,117,96,59,0.612%,0.632%,$60.00,$3.14,$3.95,$0.51,$0.63,6/30/2014,7/7/2014,7,Real Estate,
AGL Zoo - Adelaide,24255,28874,594,337,284,2.057%,1.389%,$200.00,$6.93,$8.25,$0.34,$0.59,7/8/2014,7/14/2014,6,Energy,
AGL Zoo - Melbourne,27016,30194,435,278,166,1.441%,1.029%,$200.00,$6.62,$7.40,$0.46,$0.72,7/8/2014,7/14/2014,6,Energy,
Shop a Docket Marketing Campaigns,134287,198748,3803,2697,2259,1.913%,2.008%,"$1,498.18",$7.54,$11.16,$0.39,$0.56,8/25/2014,9/19/2014,25,Retail,
Shop a Docket Offers,84659,135592,911,772,538,0.672%,0.912%,$800.00,$5.90,$9.45,$0.88,$1.04,9/23/2014,9/30/2014,7,Retail,
TDE - 1 ,56014,94779,519,409,276,0.548%,0.730%,$400.00,$4.22,$7.14,$0.77,$0.98,9/30/2014,10/14/2014,14,Retail,
Beach Fit,76348,165228,1191,860,775,0.721%,1.126%,$475.00,$2.87,$6.22,$0.40,$0.55,10/2/2014,10/31/2014,29,Fitness,
TDE - 2,28850,36585,362,263,179,0.989%,0.912%,$200.00,$5.47,$6.93,$0.55,$0.76,10/14/2014,10/21/2014,7,Retail,
Jordans Rise & Dine,60126,153676,304,268,237,0.198%,0.446%,$333.00,$2.17,$5.54,$1.10,$1.24,10/29/2014,11/5/2014,7,FMCG,
Aje VIP,109026,164706,2072,1747,1168,1.258%,1.602%,$800.00,$4.86,$7.34,$0.39,$0.46,11/13/2014,11/17/2014,4,Retail,
